Precinct	Council District	Lon	Lat
07027	1	-77.10960672175668	38.95773816111915
07024	1	-77.11227864267835	38.96021211594308
07007	1	-77.10281932751855	38.95847108863052
07026	1	-77.08894093746085	38.963793620071726
07018	1	-77.12191901227652	38.952375495787635
13068	5	-76.98798038545885	38.982464301249934
13004	5	-77.01241488255272	38.98265975266196
13008	5	-77.01521059712172	38.99239501321415
13039	1	-77.05129787601521	38.99229628933904
07013	1	-77.10892897613127	38.96038387238417
07011	1	-77.09240816205948	38.96919221935616
07002	1	-77.07752717724298	38.97068359772271
13067	5	-76.99052791045438	38.977203119007356
13006	5	-77.00937888349364	38.98213165678982
07022	1	-77.13814312416213	38.974764476791336
07004	1	-77.09986452509207	38.98645954329362
07006	1	-77.08023846121091	38.97856717680611
07021	1	-77.07665353388444	38.98022215372748
07023	1	-77.12767278876652	38.98163075648728
07003	1	-77.15272333949184	38.973258727412144
07001	1	-77.08896997678602	38.98682647787996
07005	1	-77.06359464767223	38.98701995247575
13047	5	-77.02633605045986	38.98679631649617
07016	1	-77.07343235360281	38.998770528417026
13018	5	-77.00241561676268	39.00452605041539
13007	5	-77.04677162874953	39.006537391482084
10007	1	-77.17176005460277	38.98329562722188
07019	1	-77.1282437168237	39.00932563053112
13014	5	-77.02381371721475	39.005122561216524
13015	5	-77.00088584449861	39.0118461839503
05014	5	-76.98518844514581	39.00935945168413
13058	5	-77.05455841121136	39.019117136177044
13024	5	-77.03494680515001	39.01741908822254
07031	1	-77.10655454240936	39.01656521263487
07028	1	-77.11806165640775	38.99968530252204
07010	1	-77.11656320728542	39.013252460635954
07009	1	-77.08692500807717	38.9918055545719
10003	1	-77.16113969540874	39.01236279602534
13003	1	-77.07580086396462	39.02114164401115
07020	1	-77.12882844902839	39.02300197883068
13021	5	-77.01319313787843	38.98543018308834
07032	1	-77.07647125882505	38.99106876818303
13010	5	-77.03115275945248	38.99955530021407
07012	1	-77.09893589946643	38.98325617273633
13022	5	-76.99726114733716	38.99516810067638
13065	5	-77.05095420870674	38.99879131259013
13016	5	-77.0451517636622	39.00133064028722
05014	5	-76.98518844514581	39.00935945168413
07008	1	-77.08896997678602	38.98682647787996
13005	5	-77.02455104329005	38.99511945164153
13050	5	-77.01579246664426	39.00043152099215
07015	1	-77.1295008624283	38.988791496845295
13013	5	-77.01035786433454	39.00425113506037
13032	4	-77.03703936277952	39.033842541683555
13040	4	-77.07699507014024	39.03951409725278
13031	5	-77.05739234327433	39.02861942254049
13023	5	-77.0050375495976	39.02131107358713
07025	1	-77.11417843046712	39.02340930462282
13053	4	-77.03287762303825	39.02677880194858
13038	1	-77.08933010749774	39.01310951151339
04031	1	-77.13010172484769	39.02539188890796
04004	1	-77.09648464753843	39.02925778821566
13034	1	-77.07501557225368	39.02578928531511
10011	1	-77.1592128899673	39.024389989371684
13057	4	-77.03062314038789	39.038802167337565
04010	1	-77.12234821525891	39.03836338179917
13059	4	-77.05174584348225	39.033900499981314
04013	1	-77.14511121218726	39.047103743166815
04028	3	-77.12534230979679	39.053666420699756
04008	1	-77.09658155693438	39.03304551092202
13030	4	-77.07756902332648	39.05125536432956
04033	1	-77.09658155693438	39.03304551092202
04040	4	-77.09805355746158	39.05065059637724
04015	4	-77.09805355746158	39.05065059637724
13027	4	-77.06703602049282	39.03961589670854
04017	1	-77.1184305572927	39.04614414557784
04018	1	-77.13059479373908	39.041889517173445
04026	4	-77.09805355746158	39.05065059637724
13044	4	-77.0393881974071	39.04555886924061
13025	4	-77.08528912949316	39.0485027508351
